 Example 1 - Column Test

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -


 Time  ***     60.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0    61.0   .49E-05   .00E+00
    3      .0    60.8   .14E-04   .65E-05
    5      .0    60.5   .26E-04   .17E-04
    7      .0    60.3   .46E-04   .32E-04
    9      .0    60.0   .97E-04   .54E-04
   11      .0    59.5   .25E-03   .13E-03
   13      .0    59.0   .19E-03   .33E-03
   15      .0    58.0  -.59E-03  -.13E-04
   17      .0    57.0  -.71E-04  -.85E-04
   19      .0    56.0  -.19E-05  -.36E-05
   21      .0    55.0  -.12E-07  -.84E-06
   23      .0    54.0  -.61E-10  -.60E-08
   25      .0    53.0   .00E+00  -.30E-10
   27      .0    52.0   .00E+00   .00E+00
   29      .0    51.0   .00E+00   .00E+00
   31      .0    50.0   .00E+00   .00E+00
   33      .0    49.0   .00E+00   .00E+00
   35      .0    48.0   .00E+00   .00E+00
   37      .0    47.0   .00E+00   .00E+00
   39      .0    46.0   .00E+00   .00E+00
   41      .0    45.0   .00E+00   .00E+00
   43      .0    44.0   .00E+00   .00E+00
   45      .0    43.0   .00E+00   .00E+00
   47      .0    42.0   .00E+00   .00E+00
   49      .0    41.0   .00E+00   .00E+00
   51      .0    40.0   .00E+00   .00E+00
   53      .0    39.0   .00E+00   .00E+00
   55      .0    38.0   .00E+00   .00E+00
   57      .0    37.0   .00E+00   .00E+00
   59      .0    36.0   .00E+00   .00E+00
   61      .0    35.0   .00E+00   .00E+00
   63      .0    34.0   .00E+00   .00E+00
   65      .0    33.0   .00E+00   .00E+00
   67      .0    32.0   .00E+00   .00E+00
   69      .0    31.0   .00E+00   .00E+00
   71      .0    30.0   .00E+00   .00E+00
   73      .0    29.0   .00E+00   .00E+00
   75      .0    28.0   .00E+00   .00E+00
   77      .0    27.0   .00E+00   .00E+00
   79      .0    26.0   .00E+00   .00E+00
   81      .0    25.0   .00E+00   .00E+00
   83      .0    24.0   .00E+00   .00E+00
   85      .0    23.0   .00E+00   .00E+00
   87      .0    22.0   .00E+00   .00E+00
   89      .0    21.0   .00E+00   .00E+00
   91      .0    20.0   .00E+00   .00E+00
   93      .0    18.0   .00E+00   .00E+00
   95      .0    16.0   .00E+00   .00E+00
   97      .0    14.0   .00E+00   .00E+00
   99      .0    12.0   .00E+00   .00E+00
  101      .0    10.0   .00E+00   .00E+00
  103      .0     8.0   .00E+00   .00E+00
  105      .0     6.0   .00E+00   .00E+00
  107      .0     4.0   .44E-10   .00E+00
  109      .0     2.0   .49E-08   .88E-10
  111      .0      .0   .14E-07   .73E-08


 Time  ***    900.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0    61.0   .56E-07   .00E+00
    3      .0    60.8   .13E-06   .74E-07
    5      .0    60.5   .17E-06   .15E-06
    7      .0    60.3   .18E-06   .17E-06
    9      .0    60.0   .18E-06   .20E-06
   11      .0    59.5   .14E-06   .15E-06
   13      .0    59.0   .12E-06   .15E-06
   15      .0    58.0   .16E-07   .71E-07
   17      .0    57.0  -.25E-08   .71E-08
   19      .0    56.0   .13E-07  -.29E-08
   21      .0    55.0   .15E-06   .28E-07
   23      .0    54.0   .97E-06   .25E-06
   25      .0    53.0   .57E-05   .16E-05
   27      .0    52.0   .14E-04   .92E-05
   29      .0    51.0   .16E-04   .14E-04
   31      .0    50.0   .17E-04   .14E-04
   33      .0    49.0   .17E-04   .13E-04
   35      .0    48.0   .14E-04   .12E-04
   37      .0    47.0  -.13E-04   .75E-05
   39      .0    46.0  -.70E-04  -.12E-04
   41      .0    45.0  -.34E-04  -.23E-04
   43      .0    44.0  -.33E-05  -.53E-05
   45      .0    43.0  -.13E-06  -.12E-05
   47      .0    42.0  -.37E-08  -.67E-07
   49      .0    41.0  -.95E-10  -.19E-08
   51      .0    40.0   .00E+00  -.48E-10
   53      .0    39.0   .00E+00   .00E+00
   55      .0    38.0   .00E+00   .00E+00
   57      .0    37.0   .00E+00   .00E+00
   59      .0    36.0   .00E+00   .00E+00
   61      .0    35.0   .00E+00   .00E+00
   63      .0    34.0   .00E+00   .00E+00
   65      .0    33.0   .00E+00   .00E+00
   67      .0    32.0   .00E+00   .00E+00
   69      .0    31.0   .00E+00   .00E+00
   71      .0    30.0   .00E+00   .00E+00
   73      .0    29.0   .00E+00   .00E+00
   75      .0    28.0   .00E+00   .00E+00
   77      .0    27.0   .00E+00   .00E+00
   79      .0    26.0   .00E+00   .00E+00
   81      .0    25.0   .00E+00   .00E+00
   83      .0    24.0   .00E+00   .00E+00
   85      .0    23.0   .00E+00   .00E+00
   87      .0    22.0   .00E+00   .00E+00
   89      .0    21.0   .00E+00   .00E+00
   91      .0    20.0   .00E+00   .00E+00
   93      .0    18.0   .00E+00   .00E+00
   95      .0    16.0   .00E+00   .00E+00
   97      .0    14.0   .00E+00   .00E+00
   99      .0    12.0   .00E+00   .00E+00
  101      .0    10.0   .00E+00   .00E+00
  103      .0     8.0   .00E+00   .00E+00
  105      .0     6.0   .23E-10   .00E+00
  107      .0     4.0   .75E-09   .46E-10
  109      .0     2.0   .15E-07   .14E-08
  111      .0      .0   .41E-07   .21E-07


 Time  ***   1800.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0    61.0   .22E-07   .00E+00
    3      .0    60.8   .63E-07   .30E-07
    5      .0    60.5   .11E-06   .82E-07
    7      .0    60.3   .13E-06   .11E-06
    9      .0    60.0   .12E-06   .13E-06
   11      .0    59.5   .11E-06   .11E-06
   13      .0    59.0   .99E-07   .12E-06
   15      .0    58.0   .17E-07   .61E-07
   17      .0    57.0   .25E-08   .11E-07
   19      .0    56.0  -.14E-08   .91E-09
   21      .0    55.0  -.34E-08  -.20E-08
   23      .0    54.0  -.52E-08  -.41E-08
   25      .0    53.0  -.65E-08  -.56E-08
   27      .0    52.0  -.61E-08  -.70E-08
   29      .0    51.0   .56E-08  -.47E-08
   31      .0    50.0   .79E-07   .15E-07
   33      .0    49.0   .51E-06   .13E-06
   35      .0    48.0   .30E-05   .83E-06
   37      .0    47.0   .62E-05   .49E-05
   39      .0    46.0   .56E-05   .53E-05
   41      .0    45.0   .64E-05   .57E-05
   43      .0    44.0   .61E-05   .54E-05
   45      .0    43.0   .72E-05   .55E-05
   47      .0    42.0   .92E-05   .63E-05
   49      .0    41.0   .97E-05   .77E-05
   51      .0    40.0   .17E-05   .60E-05
   53      .0    39.0  -.25E-04  -.13E-05
   55      .0    38.0  -.43E-04  -.13E-04
   57      .0    37.0  -.90E-05  -.11E-04
   59      .0    36.0  -.88E-06  -.20E-05
   61      .0    35.0  -.36E-07  -.41E-06
   63      .0    34.0  -.14E-08  -.19E-07
   65      .0    33.0  -.53E-10  -.73E-09
   67      .0    32.0   .00E+00  -.27E-10
   69      .0    31.0   .00E+00   .00E+00
   71      .0    30.0   .00E+00   .00E+00
   73      .0    29.0   .00E+00   .00E+00
   75      .0    28.0   .00E+00   .00E+00
   77      .0    27.0   .00E+00   .00E+00
   79      .0    26.0   .00E+00   .00E+00
   81      .0    25.0   .00E+00   .00E+00
   83      .0    24.0   .00E+00   .00E+00
   85      .0    23.0   .00E+00   .00E+00
   87      .0    22.0   .00E+00   .00E+00
   89      .0    21.0   .00E+00   .00E+00
   91      .0    20.0   .00E+00   .00E+00
   93      .0    18.0   .00E+00   .00E+00
   95      .0    16.0   .00E+00   .00E+00
   97      .0    14.0   .00E+00   .00E+00
   99      .0    12.0   .00E+00   .00E+00
  101      .0    10.0   .00E+00   .00E+00
  103      .0     8.0  -.38E-11   .00E+00
  105      .0     6.0   .00E+00  -.76E-11
  107      .0     4.0   .55E-09   .11E-10
  109      .0     2.0   .11E-07   .11E-08
  111      .0      .0   .30E-07   .16E-07


 Time  ***   2700.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0    61.0   .12E-07   .00E+00
    3      .0    60.8   .35E-07   .16E-07
    5      .0    60.5   .70E-07   .45E-07
    7      .0    60.3   .10E-06   .84E-07
    9      .0    60.0   .93E-07   .10E-06
   11      .0    59.5   .81E-07   .81E-07
   13      .0    59.0   .75E-07   .91E-07
   15      .0    58.0   .14E-07   .46E-07
   17      .0    57.0   .26E-08   .85E-08
   19      .0    56.0   .34E-09   .16E-08
   21      .0    55.0  -.57E-09   .00E+00
   23      .0    54.0  -.14E-08  -.79E-09
   25      .0    53.0  -.23E-08  -.17E-08
   27      .0    52.0  -.29E-08  -.25E-08
   29      .0    51.0  -.38E-08  -.32E-08
   31      .0    50.0  -.47E-08  -.43E-08
   33      .0    49.0  -.49E-08  -.47E-08
   35      .0    48.0  -.45E-08  -.51E-08
   37      .0    47.0   .22E-08  -.36E-08
   39      .0    46.0   .43E-07   .71E-08
   41      .0    45.0   .28E-06   .73E-07
   43      .0    44.0   .17E-05   .46E-06
   45      .0    43.0   .35E-05   .27E-05
   47      .0    42.0   .30E-05   .32E-05
   49      .0    41.0   .32E-05   .27E-05
   51      .0    40.0   .38E-05   .33E-05
   53      .0    39.0   .38E-05   .33E-05
   55      .0    38.0   .42E-05   .37E-05
   57      .0    37.0   .49E-05   .35E-05
   59      .0    36.0   .67E-05   .47E-05
   61      .0    35.0   .71E-05   .53E-05
   63      .0    34.0   .27E-05   .49E-05
   65      .0    33.0  -.15E-04  -.15E-06
   67      .0    32.0  -.34E-04  -.94E-05
   69      .0    31.0  -.11E-04  -.11E-04
   71      .0    30.0  -.13E-05  -.24E-05
   73      .0    29.0  -.70E-07  -.58E-06
   75      .0    28.0  -.31E-08  -.37E-07
   77      .0    27.0  -.14E-09  -.17E-08
   79      .0    26.0  -.38E-11  -.72E-10
   81      .0    25.0   .00E+00  -.19E-11
   83      .0    24.0   .00E+00   .00E+00
   85      .0    23.0   .00E+00   .00E+00
   87      .0    22.0   .00E+00   .00E+00
   89      .0    21.0   .00E+00   .00E+00
   91      .0    20.0   .00E+00   .00E+00
   93      .0    18.0   .00E+00   .00E+00
   95      .0    16.0   .00E+00   .00E+00
   97      .0    14.0   .00E+00   .00E+00
   99      .0    12.0   .00E+00   .00E+00
  101      .0    10.0  -.38E-11   .00E+00
  103      .0     8.0  -.15E-10  -.76E-11
  105      .0     6.0  -.23E-10  -.19E-10
  107      .0     4.0   .39E-09  -.23E-10
  109      .0     2.0   .84E-08   .82E-09
  111      .0      .0   .24E-07   .12E-07


 Time  ***   3600.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0    61.0   .80E-08   .00E+00
    3      .0    60.8   .23E-07   .11E-07
    5      .0    60.5   .46E-07   .29E-07
    7      .0    60.3   .74E-07   .55E-07
    9      .0    60.0   .81E-07   .83E-07
   11      .0    59.5   .66E-07   .69E-07
   13      .0    59.0   .60E-07   .74E-07
   15      .0    58.0   .11E-07   .37E-07
   17      .0    57.0   .22E-08   .70E-08
   19      .0    56.0   .46E-09   .14E-08
   21      .0    55.0   .11E-09   .40E-09
   23      .0    54.0  -.45E-09  -.11E-09
   25      .0    53.0  -.79E-09  -.57E-09
   27      .0    52.0  -.12E-08  -.90E-09
   29      .0    51.0  -.18E-08  -.15E-08
   31      .0    50.0  -.23E-08  -.19E-08
   33      .0    49.0  -.27E-08  -.25E-08
   35      .0    48.0  -.29E-08  -.27E-08
   37      .0    47.0  -.36E-08  -.31E-08
   39      .0    46.0  -.40E-08  -.38E-08
   41      .0    45.0  -.40E-08  -.40E-08
   43      .0    44.0  -.31E-08  -.40E-08
   45      .0    43.0   .33E-08  -.22E-08
   47      .0    42.0   .41E-07   .80E-08
   49      .0    41.0   .26E-06   .69E-07
   51      .0    40.0   .15E-05   .42E-06
   53      .0    39.0   .28E-05   .25E-05
   55      .0    38.0   .16E-05   .21E-05
   57      .0    37.0   .19E-05   .15E-05
   59      .0    36.0   .28E-05   .22E-05
   61      .0    35.0   .25E-05   .27E-05
   63      .0    34.0   .23E-05   .18E-05
   65      .0    33.0   .36E-05   .27E-05
   67      .0    32.0   .38E-05   .30E-05
   69      .0    31.0   .51E-05   .35E-05
   71      .0    30.0   .57E-05   .45E-05
   73      .0    29.0   .42E-05   .39E-05
   75      .0    28.0  -.44E-05   .23E-05
   77      .0    27.0  -.24E-04  -.44E-05
   79      .0    26.0  -.20E-04  -.10E-04
   81      .0    25.0  -.36E-05  -.49E-05
   83      .0    24.0  -.32E-06  -.12E-05
   85      .0    23.0  -.16E-07  -.16E-06
   87      .0    22.0  -.79E-09  -.87E-08
   89      .0    21.0  -.48E-10  -.43E-09
   91      .0    20.0  -.11E-10  -.32E-10
